duration,acc,model,model_type,learning_rate,hidden_size,batch_size,pooling_style
5.115995645523071,0.8894451397580309,fast_text,fast_text,0.001,128,64,avg
3.7660062313079834,0.8798498122653317,fast_text,fast_text,0.001,128,128,avg
4.738240718841553,0.8251981643721318,fast_text,fast_text,0.0001,128,64,avg
4.035818576812744,0.7863996662494785,fast_text,fast_text,0.0001,128,128,avg
4.675703763961792,0.6804338756779308,fast_text,fast_text,1e-05,128,64,avg
4.054235458374023,0.6829370045890697,fast_text,fast_text,1e-05,128,128,avg
7.009912014007568,0.8719232373800584,lstm,lstm,0.001,128,64,avg
5.797746658325195,0.8794326241134752,lstm,lstm,0.001,128,128,avg
6.8480446338653564,0.8890279516061744,lstm,lstm,0.0001,128,64,avg
5.77029013633728,0.886942010846892,lstm,lstm,0.0001,128,128,avg
6.651787281036377,0.8418856904463913,lstm,lstm,1e-05,128,64,avg
5.846174955368042,0.7889027951606175,lstm,lstm,1e-05,128,128,avg
6.915925979614258,0.8685857321652065,gru,gru,0.001,128,64,avg
4.725164175033569,0.8627450980392157,gru,gru,0.001,128,128,avg
6.747239351272583,0.8790154359616187,gru,gru,0.0001,128,64,avg
4.681297302246094,0.8815185648727576,gru,gru,0.0001,128,128,avg
6.729207515716553,0.8368794326241135,gru,gru,1e-05,128,64,avg
4.620110273361206,0.8176887776387151,gru,gru,1e-05,128,128,avg
6.188543796539307,0.8635794743429287,rnn,rnn,0.001,128,64,avg
4.572263240814209,0.8756779307467668,rnn,rnn,0.001,128,128,avg
6.022520065307617,0.884438881935753,rnn,rnn,0.0001,128,64,avg
4.264600038528442,0.8781810596579057,rnn,rnn,0.0001,128,128,avg
6.191854000091553,0.8397997496871089,rnn,rnn,1e-05,128,64,avg
4.166688680648804,0.8347934918648311,rnn,rnn,1e-05,128,128,avg
5.086456775665283,0.8794326241134752,cnn,cnn,0.001,128,64,avg
3.8966550827026367,0.8731748018356279,cnn,cnn,0.001,128,128,avg
4.857118368148804,0.8694201084689195,cnn,cnn,0.0001,128,64,avg
3.8806796073913574,0.8677513558614935,cnn,cnn,0.0001,128,128,avg
4.819784879684448,0.7780559032123487,cnn,cnn,1e-05,128,64,avg
3.889451265335083,0.7659574468085106,cnn,cnn,1e-05,128,128,avg
5.423494100570679,0.8773466833541927,gated_cnn,gated_cnn,0.001,128,64,avg
4.0964531898498535,0.8823529411764706,gated_cnn,gated_cnn,0.001,128,128,avg
5.713855981826782,0.8752607425949103,gated_cnn,gated_cnn,0.0001,128,64,avg
4.009265899658203,0.8823529411764706,gated_cnn,gated_cnn,0.0001,128,128,avg
5.55133318901062,0.7755527743012098,gated_cnn,gated_cnn,1e-05,128,64,avg
4.116487264633179,0.7150604922820192,gated_cnn,gated_cnn,1e-05,128,128,avg
10.330090284347534,0.8606591572799333,stack_gated_cnn,stack_gated_cnn,0.001,128,64,avg
5.8910605907440186,0.8623279098873592,stack_gated_cnn,stack_gated_cnn,0.001,128,128,avg
10.036127090454102,0.8765123070504798,stack_gated_cnn,stack_gated_cnn,0.0001,128,64,avg
6.04895544052124,0.8731748018356279,stack_gated_cnn,stack_gated_cnn,0.0001,128,128,avg
10.128927946090698,0.8302044221944097,stack_gated_cnn,stack_gated_cnn,1e-05,128,64,avg
6.124722719192505,0.7993324989570296,stack_gated_cnn,stack_gated_cnn,1e-05,128,128,avg
7.74984884262085,0.8685857321652065,rcnn,rcnn,0.001,128,64,avg
4.932582378387451,0.8802670004171882,rcnn,rcnn,0.001,128,128,avg
7.399415731430054,0.8639966624947851,rcnn,rcnn,0.0001,128,64,avg
4.693669080734253,0.8606591572799333,rcnn,rcnn,0.0001,128,128,avg
6.993326663970947,0.8097622027534418,rcnn,rcnn,1e-05,128,64,avg
4.907115697860718,0.6987901543596162,rcnn,rcnn,1e-05,128,128,avg
54.96756720542908,0.870671672924489,bert,bert,0.001,128,64,avg
46.697731733322144,0.8477263245723822,bert,bert,0.001,128,128,avg
55.45477557182312,0.8765123070504798,bert,bert,0.0001,128,64,avg
46.35330319404602,0.8819357530246141,bert,bert,0.0001,128,128,avg
55.45118808746338,0.8915310805173133,bert,bert,1e-05,128,64,avg
46.20049524307251,0.885273258239466,bert,bert,1e-05,128,128,avg
70.68454933166504,0.853566958698373,bert_lstm,bert_lstm,0.001,128,64,avg
58.927165031433105,0.8531497705465165,bert_lstm,bert_lstm,0.001,128,128,avg
70.23715353012085,0.8719232373800584,bert_lstm,bert_lstm,0.0001,128,64,avg
58.74836826324463,0.8823529411764706,bert_lstm,bert_lstm,0.0001,128,128,avg
70.11416721343994,0.8798498122653317,bert_lstm,bert_lstm,1e-05,128,64,avg
58.05718493461609,0.8873591989987485,bert_lstm,bert_lstm,1e-05,128,128,avg
59.86913537979126,0.8581560283687943,bert_cnn,bert_cnn,0.001,128,64,avg
49.21280121803284,0.8506466416353775,bert_cnn,bert_cnn,0.001,128,128,avg
60.67626762390137,0.8702544847726325,bert_cnn,bert_cnn,0.0001,128,64,avg
50.83122396469116,0.8719232373800584,bert_cnn,bert_cnn,0.0001,128,128,avg
59.62188792228699,0.8677513558614935,bert_cnn,bert_cnn,1e-05,128,64,avg
49.83746027946472,0.8765123070504798,bert_cnn,bert_cnn,1e-05,128,128,avg
53.28583002090454,0.8635794743429287,bert_mid_layer,bert_mid_layer,0.001,128,64,avg
45.99323344230652,0.8677513558614935,bert_mid_layer,bert_mid_layer,0.001,128,128,avg
54.58523869514465,0.8598247809762203,bert_mid_layer,bert_mid_layer,0.0001,128,64,avg
44.83815670013428,0.8639966624947851,bert_mid_layer,bert_mid_layer,0.0001,128,128,avg
54.076287031173706,0.8819357530246141,bert_mid_layer,bert_mid_layer,1e-05,128,64,avg
45.304831743240356,0.8865248226950354,bert_mid_layer,bert_mid_layer,1e-05,128,128,avg
